course,weeks,weekday,date,periods,start_time,end_time,room,teacher,type,content,color
Journal Club-YJT,1-18,三,, ,20:00,22:00,,,meeting,JC-YJT,#FFD54F
Group Meeting-YJT,1-18,日,,1-2,,,,,meeting,GM-YJT 9:00,#FFD54F
Group Meeting-DWQ,1-18,五,,12,20:00,21:00,,,meeting,GM-DWQ,#FFF59D
Group Meeting-ISTBI,1,五,,13,21:00,21:30,,,meeting,GM-ISTBI,#FFD54F
Group Meeting-DS,1,五,,14,21:30,22:30,,,meeting,GM-DS,#64B5F6
Group Meeting-DS,2-18,五,,13,20:30,21:30,,,meeting,GM-DS,#64B5F6
Group Meeting-ISTBI,2-18,五,,14,21:00,21:30,,,meeting,GM-ISTBI,#FFD54F
Cne to One-DS,1-18,日,, ,21:00,21:30,,,meeting,Cne to One-XS,#64B5F6
Wingcls,1,五,, 10,17:00,17:30,,,meeting,Wingclass,#64B5F6
Echo面试,1,日,, 12,20:00,20:30,,,meeting,邯郸 正大体育馆101,
Echo,2-13,四,, ,18:15,21:15,,,meeting,明园世纪城4楼,
NHB Editors,,二,2026-04-14, ,13:30,15:00,,,meeting,H 外文楼204小礼堂,
六级,,日,2026-06-13, ,15:00,17:20,,,meeting,枫林,
循证医学-期末,,,2026-04-30,,09:55,11:55, , ,exam,, 
神经病学-期末,,,2026-06-03,,09:55,11:55, , ,exam,, 
皮肤病学B-期末,,,2026-06-26,,13:00,15:00, , ,exam,,
法医学-期末,,,2026-07-02,,13:00,15:00, , ,exam,,
临床诊断基本技术操作-期末,,,2026-05-21,,09:55,11:55, , ,exam,,
预防医学-期末,,,2026-06-24,,08:30,10:30, , ,exam,,
精神医学-期末,,,2026-06-08,,09:55,11:55, , ,exam,,
中西医结合临床-期末,,,2026-05-14,,09:55,11:55, , ,exam,,